locations: latitude,locations: longitude
40.4414214,-79.9564571
40.326016,-80.065199
40.502098,-80.0692605
40.4257272,-79.7341381
40.326984,-79.9573294
40.3481862077,-80.0533735153
40.450866,-79.933919
40.4524104,-79.9506684
40.4784388,-79.9553131
40.4774907,-79.9574707
40.4475255,-79.9933976
40.4288805,-79.9777854
40.4293034,-79.9724245
40.3333391737,-79.9442463582
40.4533081,-79.9490476
40.446578,-79.99496
40.4413212,-80.0035143
40.4375406448,-79.9488830566
40.4219149,-79.8863458
40.4425968,-79.9822921
40.3950950733,-80.0670388888
40.4365402201,-79.7873096075
40.4567682795,-79.929146092
40.630130199999996,-80.0571186
40.554325,-80.015963
40.389665,-80.089434
40.4415434,-79.9961395
40.4325553,-79.9232757
40.4378416,-79.9197512
40.3764422,-79.9841149
40.4514327973,-80.2518367699
40.46263,-79.95693
40.4184068398,-79.6499967948
40.3201378,-79.6845419
40.541278,-79.818972
40.4288994,-79.986997
40.535001054,-80.2291350142
40.6477104,-80.0762659
40.6137545,-80.0584256
40.6172685,-80.0567122
40.4418551018,-80.0125872687
40.4426692,-79.998918
40.4522796,-79.9981513
40.447581221,-80.0043602268
40.4603426,-79.9250006
40.48625,-79.973072
40.4442708,-79.9532909
40.421825649,-79.9286001921
40.450111,-79.9858749
40.4382747,-79.9198168
40.4377293,-79.9227349
40.383605,-79.9044137
40.4288935,-79.9879698
40.4614336,-79.9648853
40.5220627,-80.0343204
40.4543652331,-80.1572587037
40.4479980038,-80.1587162912
40.4404227,-79.9972048
40.4289429,-79.7953303
40.431988,-79.7936134
40.5445287,-79.9628682
40.3951787,-80.0225039
40.27116,-80.125909
40.316787,-80.0694916
40.3428688,-80.1169577
40.4383875,-79.7593976
40.5414597,-79.778639
40.4875647,-79.8812642
40.4448788,-79.9484106
40.38576,-79.826927
40.4415388,-79.9564405
40.50582,-79.842708
40.551127,-80.021018
40.3610158,-79.9065526
40.3201378,-79.6845419
40.4884107,-79.8809619
40.4543526,-79.9828179
40.4976197308,-79.8449595396
40.4328604,-79.9232273
40.429091169,-79.8130032421
40.4415369,-79.958418
40.360514,-79.907714
40.4391056,-80.0711385
40.4023147,-79.7748751
40.4274522,-79.9767288
40.3927887,-79.8100605
40.505161,-79.84395
40.54132,-79.777539
40.4882642,-79.8797105
40.4522058,-79.9515557
40.419915,-79.9294174
40.4936763,-80.2930393
40.429454,-79.9242666
40.3992783,-79.7683503
40.4285857,-79.984867
40.4447263,-79.8857764
40.4286571,-79.983834
40.3955213,-80.0673114
40.3925456,-80.0658031
40.448551,-80.104204
40.4411828,-79.7125993
40.4652145,-79.8272067
40.421954,-79.6615748
40.421601,-80.058565
40.408924999999996,-80.084884
40.4386544,-79.7703871
40.46447,-79.9406
40.46282,-79.9509219
40.4373787,-79.9838948
40.4543563,-79.9446292
40.451402576,-80.161831434
40.4956736488,-80.2462253054
40.464746,-79.6614376
40.4759386,-79.9211066
40.4399090468,-80.0891526621
40.4429845,-79.9552497
40.4406486359,-79.9570777606
40.4418875,-80.0706803
40.4721491,-79.9595543
40.5184013,-80.1667247
40.4445302592,-79.9488186836
40.5479566,-80.035645
40.581450942000004,-80.0370140746
40.563836,-80.024215
40.4278786,-79.9659239
40.431969,-79.7996428
40.4379424291,-79.922830377
40.343767,-80.056904
40.4884237134,-79.8805450889
40.4288482666,-79.9843215942
40.4444668,-79.9548644
40.33152,-79.71117
40.3362422,-79.7448761
40.4358721,-80.1434179
40.4047579,-80.0393625
40.554241,-79.94822
40.2734948286,-80.1263299584
40.3941612,-80.021059
40.6380137,-80.0813427
40.4281973,-79.9753305
40.3434245,-80.0555871
40.4545452049,-80.157194413
40.4386444,-79.9828243
40.4426852,-79.9266587
40.553157,-80.106102
40.3922727,-80.0184324
40.3945037,-80.0215239
40.4363985,-79.9632833
40.4434132,-79.9961509
40.4411343,-80.0026106
40.4411266,-80.0025216
40.3723038,-79.982203
40.361845,-79.858549
40.4514362,-80.0183074
40.467473,-79.837073
40.4477255,-79.8913674
40.3747044,-80.0702555
40.4406384258,-79.9579879827
40.4514961,-79.9837927
40.4585269,-79.975482
40.3217042,-80.1993564
40.4506374455,-80.1605859492
40.4533705,-79.9377806
40.4512012,-79.9328073
40.437299,-79.9984685
40.4425142,-79.9987478
40.452713,-79.942531
40.4286818,-79.9831047
40.4267097,-79.9684478
40.4291832,-79.7954593
40.427741815,-79.7885797886
40.3499998,-79.9763527
40.413709,-79.880269
40.367244,-79.980469
40.4335363,-79.9232551
40.4315597,-79.9234251
40.4580184,-79.9275787
40.2634088,-80.1738737
40.31836,-79.9958954
40.3693662,-80.0354764
40.4307117137,-80.0074910503
40.4276041376,-79.6954755783
40.5203048,-80.0328622
40.3348408,-79.9448091
40.451707,-79.9328251
40.4578271,-79.9275319
40.4654694,-80.0736856
40.472751,-79.959173
40.3484629,-79.9428923
40.4890759296,-79.8915405518
40.5400204,-79.8279672
40.4028552,-79.9171699
40.383224,-80.0136478
