user_id,item_id,rating,is_test,is_tune,is_train
0,22,4.0,False,False,True
0,31,2.0,False,False,True
0,81,1.0,False,False,True
0,104,3.0,True,False,False
0,119,3.0,False,False,True
0,170,2.0,False,False,True
0,192,2.0,True,False,False
0,249,2.0,False,False,True
0,269,5.0,False,False,True
0,335,1.0,True,False,False
0,410,3.0,False,False,True
0,483,5.0,True,False,False
0,491,4.0,False,False,True
0,553,3.0,False,False,True
0,581,3.0,False,False,True
0,599,3.0,False,False,True
0,616,3.0,True,False,False
0,622,1.0,False,False,True
0,627,2.0,False,False,True
0,631,2.0,False,False,True
0,632,3.0,False,False,True
0,636,4.0,False,False,True
0,701,2.0,False,False,True
0,705,1.0,False,False,True
0,715,4.0,True,False,False
0,721,3.0,False,False,True
0,807,1.0,False,False,True
0,823,4.0,False,False,True
0,866,2.0,False,False,True
0,886,3.0,False,False,True
0,933,4.0,False,False,True
0,975,2.0,False,False,True
0,986,2.0,False,False,True
0,987,3.0,False,False,True
0,991,2.0,False,False,True
0,1060,5.0,False,False,True
0,1076,3.0,False,False,True
0,1080,3.0,True,False,False
0,1089,2.0,False,False,True
0,1177,1.0,False,False,True
0,1178,3.0,False,False,True
0,1184,2.0,False,False,True
0,1191,1.0,False,False,True
0,1231,5.0,False,False,True
0,1259,3.0,False,False,True
0,1302,3.0,False,False,True
0,1324,1.0,True,False,False
0,1387,1.0,False,False,True
0,1391,4.0,False,False,True
0,1395,3.0,False,False,True
0,1494,2.0,False,False,True
0,1617,2.0,False,False,True
0,1705,2.0,False,False,True
0,1706,4.0,False,False,True
0,1738,3.0,False,False,True
0,1740,3.0,False,False,True
0,1769,2.0,False,False,True
0,1813,2.0,True,False,False
0,1893,3.0,False,False,True
0,2036,3.0,False,False,True
0,2104,2.0,False,False,True
0,2201,2.0,False,False,True
0,2232,3.0,False,False,True
0,2314,4.0,False,False,True
0,2325,3.0,False,False,True
0,2361,2.0,False,False,True
0,2403,3.0,False,False,True
0,2833,3.0,False,False,True
0,2859,5.0,False,False,True
0,2983,4.0,False,False,True
0,2984,1.0,False,False,True
1,1,5.0,True,False,False
1,4,2.0,False,False,True
1,84,4.0,False,False,True
1,164,5.0,False,False,True
1,203,4.0,False,False,True
1,248,4.0,False,False,True
1,255,3.0,False,False,True
1,300,5.0,False,False,True
1,357,3.0,False,False,True
1,392,5.0,False,False,True
1,426,5.0,False,False,True
1,437,3.0,True,False,False
1,440,4.0,False,False,True
1,583,4.0,False,False,True
1,606,5.0,False,False,True
1,656,4.0,False,False,True
1,709,5.0,False,False,True
1,873,3.0,True,False,False
1,956,4.0,False,False,True
1,997,4.0,False,False,True
1,1159,4.0,False,False,True
1,1165,4.0,False,False,True
1,1181,4.0,False,False,True
1,1232,4.0,False,False,True
1,1455,4.0,False,False,True
1,1501,5.0,False,False,True
1,1585,4.0,False,False,True
1,1626,5.0,True,False,False
1,1733,4.0,True,False,False
1,1826,3.0,False,False,True
1,1945,3.0,True,False,False
1,1971,4.0,False,False,True
1,2080,5.0,False,False,True
1,2184,4.0,False,False,True
1,2249,4.0,False,False,True
1,2329,4.0,False,False,True
1,2338,4.0,True,False,False
1,2547,3.0,False,False,True
1,2639,5.0,False,False,True
1,2739,4.0,False,False,True
1,2763,5.0,False,False,True
1,2866,3.0,False,False,True
2,4,2.0,True,False,False
2,14,4.0,False,False,True
2,40,5.0,False,False,True
2,65,3.0,False,False,True
2,67,5.0,True,False,False
2,79,4.0,False,False,True
2,145,5.0,True,False,False
2,163,4.0,False,False,True
2,202,3.0,False,False,True
2,257,2.0,False,False,True
2,265,4.0,False,False,True
2,296,3.0,False,False,True
2,323,5.0,False,False,True
2,348,5.0,True,False,False
2,364,4.0,False,False,True
2,390,5.0,False,False,True
2,408,4.0,True,False,False
2,413,4.0,False,False,True
2,458,5.0,False,False,True
2,510,3.0,False,False,True
2,551,4.0,False,False,True
2,582,3.0,False,False,True
2,610,4.0,False,False,True
2,645,4.0,False,False,True
2,683,5.0,False,False,True
2,769,3.0,False,False,True
2,831,4.0,False,False,True
2,835,4.0,False,False,True
2,846,4.0,False,False,True
2,887,4.0,False,False,True
2,920,5.0,True,False,False
2,955,4.0,False,False,True
2,1038,4.0,False,False,True
2,1046,3.0,False,False,True
2,1138,5.0,True,False,False
2,1156,3.0,False,False,True
2,1195,4.0,False,False,True
2,1205,3.0,True,False,False
2,1296,4.0,False,False,True
2,1497,4.0,False,False,True
2,1517,2.0,True,False,False
2,1520,4.0,False,False,True
2,1562,5.0,False,False,True
2,1602,5.0,False,False,True
2,1617,3.0,False,False,True
2,1640,5.0,False,False,True
2,1679,3.0,False,False,True
2,1698,2.0,False,False,True
2,1882,3.0,False,False,True
